,ref_number,polis
0,8,17.866392627938346
1,12,16.350242728008688
2,16,21.51734908443848
3,21,24.531219488544007
4,26,38.91719852285927
5,27,29.471627211376077
6,30,37.89333100996676
7,46,26.05116479615687
8,56,38.422932784611206
9,58,18.36536166226272
