;ref_number;precision;recall;f1
0;8;0.495893665;0.336970287;0.401269452
1;12;0.54727708;0.391277025;0.456312421
2;16;0.572400539;0.366345732;0.446758621
3;21;0.433994492;0.3388737;0.380580597
4;26;0.446810726;0.40761941;0.426316247
5;27;0.454228124;0.223737442;0.29980236
6;30;0.593340685;0.429344336;0.498193397
7;46;0.37903335;0.244029287;0.296905103
8;56;0.345029831;0.21094716;0.261820414
9;58;0.526853691;0.387657553;0.446662223
;;0.479486218;0.333680193;0.391462084
