,ref_number,polis
0,8,19.300151076570767
1,12,17.10424401153253
2,16,21.51408215530826
3,21,23.852759268221398
4,26,33.42021540539882
5,27,34.98753981825532
6,30,29.859850961989803
7,46,29.019631724704233
8,56,39.90624873420546
9,58,17.659223854350344
